County,Date,Cases
Nash,3/21/20,1
New Hanover,3/21/20,3
Onslow,3/21/20,2
Orange,3/21/20,2
Robeson,3/21/20,1
Union,3/21/20,3
Wake,3/21/20,17
Wilson,3/21/20,1
Alamance,3/20/20,1
Brunswick,3/20/20,3
Cabarrus,3/20/20,4
Carteret,3/20/20,2
Catawba,3/20/20,1
Craven,3/20/20,1
Durham,3/20/20,4
Forsyth,3/20/20,3
Franklin,3/20/20,4
Gaston,3/20/20,1
Granville,3/20/20,1
Guilford,3/20/20,1
Johnston,3/20/20,1
Lee,3/20/20,1
Mecklenburg,3/20/20,11
Orange,3/20/20,4
Pitt,3/20/20,1
Rowan,3/20/20,2
Scotland,3/20/20,1
Wake,3/20/20,7
Cumberland,3/19/20,2
Davidson,3/19/20,1
Durham,3/19/20,8
Forsyth,3/19/20,2
Guilford,3/19/20,2
Harnett,3/19/20,2
Mecklenburg,3/19/20,18
Moore,3/19/20,1
Pasquotank,3/19/20,1
Pitt,3/19/20,1
Union,3/19/20,1
Wake,3/19/20,3
Wilson,3/19/20,1
Durham,3/18/20,11
Hoke,3/18/20,1
Iredell,3/18/20,1
Lincoln,3/18/20,1
Mecklenburg,3/18/20,3
Moore,3/18/20,1
New Hanover,3/18/20,1
Union,3/18/20,1
Wake,3/18/20,5
Watauga,3/18/20,1
Chatham,3/17/20,2
Durham,3/17/20,15
Guilford,3/17/20,1
Mecklenburg,3/17/20,4
Wake,3/17/20,2
Harnett,3/16/20,2
Iredell,3/16/20,1
Mecklenburg,3/16/20,3
Sampson,3/16/20,1
Wake,3/16/20,1
Mecklenburg,3/15/20,2
Wake,3/15/20,3
Watauga,3/15/20,1
Wilson,3/15/20,1
Brunswick,3/14/20,1
Craven,3/14/20,1
Harnett,3/14/20,1
Johnston,3/14/20,1
Mecklenburg,3/14/20,1
Wake,3/14/20,2
Harnett,3/13/20,1
Wake,3/13/20,1
Wayne,3/13/20,1
Cabarrus,3/12/20,1
Forsyth,3/12/20,2
Johnston,3/12/20,1
Mecklenburg,3/12/20,1
Onslow,3/12/20,1
Wake,3/12/20,1
Durham,3/11/20,1
Wake,3/9/20,6
Chatham,3/6/20,1
Wake,3/3/20,1
Alamance,3/30/20,1
Alleghany,3/30/20,1
Bertie,3/30/20,3
Brunswick,3/30/20,1
Buncombe,3/30/20,2
Burke,3/30/20,1
Cabarrus,3/30/20,9
Carteret,3/30/20,3
Chatham,3/30/20,1
Cherokee,3/30/20,1
Cumberland,3/30/20,5
Davidson,3/30/20,3
Davie,3/30/20,6
Durham,3/30/20,11
Forsyth,3/30/20,5
Franklin,3/30/20,1
Gaston,3/30/20,5
Granville,3/30/20,1
Guilford,3/30/20,5
Halifax,3/30/20,1
Harnett,3/30/20,1
Henderson,3/30/20,3
Iredell,3/30/20,4
Johnston,3/30/20,1
McDowell,3/30/20,2
Mecklenburg,3/30/20,46
Moore,3/30/20,1
New Hanover,3/30/20,3
Onslow,3/30/20,2
Orange,3/30/20,1
Pitt,3/30/20,10
Randolph,3/30/20,2
Rowan,3/30/20,1
Rutherford,3/30/20,2
Wake,3/30/20,34
Wayne,3/30/20,1
Wilkes,3/30/20,2
Wilson,3/30/20,3
Yadkin,3/30/20,1
