County,Date,Cases
Guilford,3/24/20,5
Guilford,3/22/20,4
Guilford,3/21/20,3
Guilford,3/20/20,1
Guilford,3/19/20,2
Guilford,3/17/20,1
Halifax,4/4/20,3
Halifax,4/3/20,1
Halifax,4/2/20,2
Halifax,3/31/20,1
Halifax,3/30/20,1
Halifax,3/28/20,1
Halifax,3/27/20,1
Harnett,4/3/20,5
Harnett,4/2/20,1
Harnett,3/31/20,3
Harnett,3/30/20,1
Harnett,3/29/20,1
Harnett,3/28/20,2
Harnett,3/26/20,1
Harnett,3/25/20,1
Harnett,3/23/20,2
Harnett,3/21/20,1
Harnett,3/19/20,2
Harnett,3/16/20,2
Harnett,3/14/20,1
Harnett,3/13/20,1
Haywood,4/2/20,2
Henderson,4/4/20,3
Henderson,4/2/20,4
Henderson,3/31/20,2
Henderson,3/30/20,3
Henderson,3/29/20,3
Henderson,3/28/20,4
Henderson,3/27/20,2
Henderson,3/26/20,2
Henderson,3/23/20,1
Henderson,3/21/20,1
Hertford,3/31/20,1
Hertford,3/26/20,2
Hertford,3/24/20,1
Hoke,4/4/20,1
Hoke,4/3/20,2
Hoke,4/2/20,3
Hoke,3/31/20,1
Hoke,3/28/20,1
Hoke,3/24/20,1
Hoke,3/18/20,1
Iredell,4/3/20,6
Iredell,4/2/20,11
Iredell,3/30/20,4
Iredell,3/29/20,3
Iredell,3/28/20,3
Iredell,3/27/20,2
Iredell,3/26/20,2
Iredell,3/25/20,2
Iredell,3/24/20,1
Iredell,3/23/20,2
Iredell,3/22/20,4
Iredell,3/18/20,1
Iredell,3/16/20,1
Jackson,4/2/20,1
Jackson,3/24/20,1
Johnston,4/4/20,1
Johnston,4/3/20,5
Johnston,4/2/20,3
Johnston,4/1/20,3
Johnston,3/31/20,3
Johnston,3/30/20,1
Johnston,3/29/20,1
Johnston,3/26/20,1
Johnston,3/25/20,4
Johnston,3/23/20,1
Johnston,3/20/20,1
Johnston,3/14/20,1
Johnston,3/12/20,1
Lee,3/31/20,1
Lee,3/27/20,1
Lee,3/20/20,1
Lenoir,4/3/20,2
Lenoir,4/2/20,2
Lenoir,3/26/20,2
Lenoir,3/24/20,1
Lincoln,4/3/20,1
Lincoln,4/2/20,3
Lincoln,4/1/20,1
Lincoln,3/31/20,1
Lincoln,3/29/20,2
Lincoln,3/18/20,1
Macon,4/1/20,1
Martin,4/2/20,1
Martin,4/1/20,1
Martin,3/31/20,1
McDowell,4/2/20,1
McDowell,3/30/20,2
McDowell,3/27/20,2
McDowell,3/25/20,1
McDowell,3/24/20,2
Mecklenburg,4/4/20,34
Mecklenburg,4/3/20,68
Mecklenburg,4/2/20,68
Mecklenburg,4/1/20,45
Mecklenburg,3/31/20,38
Mecklenburg,3/30/20,46
Mecklenburg,3/29/20,37
Mecklenburg,3/28/20,40
Mecklenburg,3/27/20,55
Mecklenburg,3/26/20,34
Mecklenburg,3/25/20,28
Mecklenburg,3/24/20,36
Mecklenburg,3/23/20,26
Mecklenburg,3/22/20,3
Mecklenburg,3/21/20,34
Mecklenburg,3/20/20,11
Mecklenburg,3/19/20,18
Mecklenburg,3/18/20,3
Mecklenburg,3/17/20,4
Mecklenburg,3/16/20,3
Mecklenburg,3/15/20,2
Mecklenburg,3/14/20,1
Mecklenburg,3/12/20,1
Mitchell,4/1/20,1
Mitchell,3/26/20,1
Montgomery,4/3/20,2
Montgomery,4/2/20,1
Montgomery,4/1/20,2
Montgomery,3/31/20,2
Montgomery,3/26/20,2
Montgomery,3/21/20,1
Moore,4/4/20,2
Moore,4/3/20,1
Moore,4/2/20,3
Moore,3/30/20,1
Moore,3/29/20,2
Moore,3/27/20,2
Moore,3/26/20,1
Moore,3/19/20,1
Moore,3/18/20,1
Nash,4/4/20,1
Nash,4/3/20,1
Nash,4/2/20,4
Nash,4/1/20,1
Nash,3/31/20,7
Nash,3/24/20,1
Nash,3/22/20,2
Nash,3/21/20,1
New Hanover,4/2/20,3
New Hanover,4/1/20,5
New Hanover,3/31/20,4
New Hanover,3/30/20,3
New Hanover,3/29/20,2
New Hanover,3/28/20,4
New Hanover,3/27/20,6
New Hanover,3/26/20,1
New Hanover,3/25/20,5
New Hanover,3/23/20,5
New Hanover,3/21/20,3
New Hanover,3/18/20,1
Northampton,4/3/20,2
Northampton,4/2/20,3
Northampton,4/1/20,3
Northampton,3/31/20,4
Northampton,3/29/20,1
Northampton,3/28/20,21
Northampton,3/26/20,3
Northampton,3/23/20,1
Onslow,4/4/20,1
Onslow,4/3/20,3
Onslow,4/2/20,1
Onslow,4/1/20,1
Onslow,3/31/20,1
Onslow,3/30/20,2
Onslow,3/25/20,1
Onslow,3/21/20,2
Onslow,3/12/20,1
Orange,4/4/20,8
Orange,4/3/20,7
Orange,4/1/20,3
Orange,3/31/20,4
Orange,3/30/20,1
Orange,3/29/20,2
Orange,3/28/20,3
Orange,3/27/20,8
Orange,3/26/20,3
Orange,3/25/20,2
Orange,3/24/20,5
Orange,3/21/20,2
Orange,3/20/20,4
Pamlico,4/3/20,1
Pamlico,4/2/20,1
Pamlico,3/29/20,1
Pasquotank,4/4/20,1
Pasquotank,4/2/20,3
Pasquotank,3/31/20,2
Pasquotank,3/29/20,1
Pasquotank,3/19/20,1
Pender,4/3/20,1
Perquimans,3/28/20,1
Person,4/3/20,2
Person,3/31/20,1
Person,3/24/20,1
Pitt,4/4/20,2
Pitt,4/3/20,2
Pitt,4/2/20,4
Pitt,3/31/20,2
Pitt,3/30/20,10
Pitt,3/29/20,2
Pitt,3/28/20,3
Pitt,3/27/20,2
Pitt,3/26/20,2
Pitt,3/25/20,1
Pitt,3/24/20,1
Pitt,3/22/20,2
Pitt,3/20/20,1
Pitt,3/19/20,1
Polk,4/2/20,2
Polk,3/31/20,2
Polk,3/28/20,1
Polk,3/26/20,1
Randolph,4/3/20,7
Randolph,4/2/20,2
Randolph,3/30/20,2
Randolph,3/29/20,6
Randolph,3/28/20,4
Randolph,3/26/20,2
Randolph,3/25/20,1
Randolph,3/23/20,2
Robeson,4/1/20,1
Robeson,3/24/20,1
Robeson,3/21/20,1
Rockingham,4/4/20,2
Rockingham,4/3/20,1
Rockingham,4/2/20,2
Rowan,4/3/20,7
Rowan,4/2/20,7
Rowan,4/1/20,6
Rowan,3/31/20,6
Rowan,3/30/20,1
Rowan,3/29/20,3
Rowan,3/28/20,2
Rowan,3/26/20,6
Rowan,3/24/20,4
Rowan,3/20/20,2
Rutherford,4/3/20,3
Rutherford,4/2/20,2
Rutherford,4/1/20,3
Rutherford,3/31/20,2
Rutherford,3/30/20,2
Sampson,4/3/20,1
Sampson,3/16/20,1
